Date,Open,High,Low,Close,Adj Close,Volume
2018-02-03,1.494410,1.508400,1.417620,1.429860,1.429860,80901800
2018-02-04,1.433170,1.520220,1.342720,1.399620,1.399620,88995400
2018-02-05,1.392710,1.398750,1.191460,1.201480,1.201480,73913504
2018-02-06,1.211740,1.351360,1.134560,1.348650,1.348650,130838000
2018-02-07,1.343590,1.393750,1.220870,1.287420,1.287420,74229696
2018-02-08,1.279640,1.492210,1.279640,1.429080,1.429080,140400992
2018-02-09,1.427350,1.593560,1.381380,1.585670,1.585670,305078016
2018-02-10,1.582880,1.592800,1.480540,1.548630,1.548630,125255000
2018-02-11,1.548950,1.582840,1.445650,1.536650,1.536650,107127000
2018-02-12,1.543370,1.588760,1.543370,1.574200,1.574200,113683000
2018-02-13,1.575450,2.431700,1.564110,2.191100,2.191100,185762000
2018-02-14,2.191780,2.831820,2.049150,2.829510,2.829510,308817984
2018-02-15,2.783430,2.813830,2.342700,2.371610,2.371610,303590016
2018-02-16,2.358570,2.534730,2.256560,2.486360,2.486360,177184992
2018-02-17,2.492840,2.623380,2.437980,2.559210,2.559210,158970000
2018-02-18,2.568190,2.568190,2.322450,2.345530,2.345530,141112992
2018-02-19,2.341560,2.583540,2.338990,2.512800,2.512800,137335008
2018-02-20,2.504730,2.671160,2.423300,2.430590,2.430590,156439008
2018-02-21,2.429590,2.479050,2.311800,2.359570,2.359570,146902000
2018-02-22,2.358930,2.480750,2.136690,2.166680,2.166680,166988000
2018-02-23,2.164910,2.324800,2.049020,2.300920,2.300920,168072000
2018-02-24,2.300420,2.395260,2.198520,2.273290,2.273290,163304992
2018-02-25,2.269890,2.329060,2.166340,2.243760,2.243760,125886000
2018-02-26,2.243490,2.329610,2.170970,2.305650,2.305650,121620000
2018-02-27,2.311590,2.646090,2.303500,2.585510,2.585510,222914000
2018-02-28,2.586810,2.608340,2.165640,2.165640,2.165640,221380992
2018-03-01,2.169390,2.324050,2.125320,2.300070,2.300070,146083008
2018-03-02,2.297720,2.349470,2.094410,2.168180,2.168180,151136000
2018-03-03,2.167400,2.208450,2.139860,2.203970,2.203970,104451000
2018-03-04,2.206290,2.213010,2.141140,2.174680,2.174680,109646000
2018-03-05,2.172510,2.300820,2.171660,2.260800,2.260800,131375000
2018-03-06,2.259690,2.259690,2.071450,2.102900,2.102900,132400000
2018-03-07,2.103540,2.141730,1.779330,1.807310,1.807310,130963000
2018-03-08,1.798650,1.878480,1.595470,1.611720,1.611720,161630000
2018-03-09,1.609260,1.673830,1.413830,1.663180,1.663180,107130000
2018-03-10,1.668180,1.707210,1.561380,1.574690,1.574690,54957600
2018-03-11,1.571130,1.769800,1.520560,1.731440,1.731440,55022100
2018-03-12,1.738360,1.819770,1.591480,1.676890,1.676890,121950000
2018-03-13,1.669830,1.682760,1.590670,1.652570,1.652570,64170000
2018-03-14,1.651490,1.677620,1.459810,1.477280,1.477280,78271600
2018-03-15,1.476400,1.528980,1.365050,1.491900,1.491900,78494896
2018-03-16,1.494970,1.570670,1.433520,1.512050,1.512050,68990200
2018-03-17,1.509820,1.517950,1.401140,1.421650,1.421650,56058500
2018-03-18,1.420610,1.420610,1.231910,1.377000,1.377000,78305400
2018-03-19,1.369400,1.488390,1.338110,1.487220,1.487220,70440000
2018-03-20,1.500870,1.515190,1.404650,1.492160,1.492160,72994304
2018-03-21,1.496890,1.551480,1.481940,1.511500,1.511500,64809700
2018-03-22,1.508860,1.548740,1.408980,1.473000,1.473000,57782100
2018-03-23,1.471720,1.471720,1.364320,1.450510,1.450510,59713700
2018-03-24,1.460230,1.778380,1.433330,1.532910,1.532910,112195000
2018-03-25,1.512610,1.560950,1.470940,1.508260,1.508260,61138000
2018-03-26,1.509220,1.594020,1.438940,1.504190,1.504190,72547504
2018-03-27,1.494640,1.546530,1.435850,1.505050,1.505050,60866800
2018-03-28,1.504450,1.698120,1.504450,1.672970,1.672970,144188992
2018-03-29,1.674650,1.679290,1.568690,1.579040,1.579040,128834000
2018-03-30,1.576390,1.718940,1.495440,1.711080,1.711080,146178000
2018-03-31,1.713870,1.782590,1.695300,1.744100,1.744100,118066000
2018-04-01,1.743330,1.759160,1.597740,1.693830,1.693830,125413000
2018-04-02,1.698030,1.729170,1.670310,1.728280,1.728280,107241000
2018-04-03,1.728850,1.743780,1.699210,1.715240,1.715240,111848000
2018-04-04,1.714810,1.715960,1.640060,1.659140,1.659140,107751000
2018-04-05,1.660680,1.662930,1.595220,1.619970,1.619970,106640000
2018-04-06,1.620150,1.667150,1.571310,1.598530,1.598530,102041000
2018-04-07,1.599100,1.690310,1.586860,1.685270,1.685270,107965000
2018-04-08,1.685490,1.750230,1.653370,1.734860,1.734860,108350000
2018-04-09,1.740180,1.751530,1.667090,1.710460,1.710460,107451000
2018-04-10,1.712280,1.715360,1.663570,1.689000,1.689000,108873000
2018-04-11,1.691050,1.743440,1.681470,1.737800,1.737800,111972000
2018-04-12,1.734470,1.884080,1.730770,1.828400,1.828400,99100000
2018-04-13,1.845170,2.017870,1.799070,1.883570,1.883570,87816000
2018-04-14,1.874550,1.920180,1.804060,1.817940,1.817940,57346900
2018-04-15,1.822900,1.891980,1.820710,1.879490,1.879490,58622800
2018-04-16,1.879520,1.886160,1.741610,1.800810,1.800810,73839104
2018-04-17,1.800910,1.830880,1.764710,1.774970,1.774970,56799800
2018-04-18,1.776770,1.850090,1.774440,1.839300,1.839300,56196500
2018-04-19,1.836870,1.920460,1.836870,1.920460,1.920460,60716200
2018-04-20,1.919170,1.942800,1.853190,1.920470,1.920470,76364400
2018-04-21,1.922320,1.925110,1.813310,1.850280,1.850280,62022700
2018-04-22,1.844960,2.121770,1.816850,2.013640,2.013640,98543696
2018-04-23,2.004740,2.210780,1.996030,2.174930,2.174930,66029700
2018-04-24,2.176880,2.311090,2.154730,2.289150,2.289150,67479200
2018-04-25,2.275850,2.275850,1.940400,1.994600,1.994600,68501200
2018-04-26,2.007300,2.179460,1.940140,2.175490,2.175490,50932100
2018-04-27,2.163690,2.301560,2.139890,2.197340,2.197340,63116800
2018-04-28,2.187000,2.401040,2.170930,2.377320,2.377320,64296100
2018-04-29,2.376650,2.417910,2.272390,2.353180,2.353180,56728800
2018-04-30,2.353520,2.848580,2.296960,2.756680,2.756680,101021000
2018-05-01,2.778000,2.787670,2.474810,2.661040,2.661040,74343600
2018-05-02,2.627400,2.790960,2.590330,2.790960,2.790960,51712500
2018-05-03,2.807140,2.828150,2.632050,2.689350,2.689350,72545400
2018-05-04,2.688300,2.736640,2.568180,2.690450,2.690450,49574900
2018-05-05,2.694340,2.846910,2.676350,2.678550,2.678550,54408800
2018-05-06,2.678740,2.720790,2.542270,2.670370,2.670370,44782000
2018-05-07,2.672510,2.742450,2.531750,2.698320,2.698320,42959900
2018-05-08,2.699880,2.828150,2.699880,2.807130,2.807130,40265100
2018-05-09,2.796130,3.674390,2.776900,3.450540,3.450540,112671000
2018-05-10,3.412850,4.181640,3.402640,3.895820,3.895820,144260992
2018-05-11,3.910750,3.990740,3.357790,3.761140,3.761140,138875008
2018-05-12,3.742670,3.921190,3.283070,3.680990,3.680990,117939000
2018-05-13,3.680730,3.778340,3.490810,3.643460,3.643460,49205800
2018-05-14,3.640780,4.276590,3.594540,4.214340,4.214340,92537400
2018-05-15,4.200770,4.490000,4.082200,4.347430,4.347430,115820000
2018-05-16,4.341260,4.341260,3.852110,4.271320,4.271320,104014000
2018-05-17,4.269960,4.919620,4.198090,4.718210,4.718210,129941000
2018-05-18,4.720730,5.167190,4.309860,5.134160,5.134160,144928000
2018-05-19,5.132860,5.473970,4.585340,4.785430,4.785430,221112992
2018-05-20,4.748000,4.748000,3.932350,4.542170,4.542170,168956992
2018-05-21,4.560030,4.809900,4.164030,4.369630,4.369630,137723008
2018-05-22,4.295990,4.380590,4.029560,4.046960,4.046960,102122000
2018-05-23,4.025010,4.075890,3.355240,3.585820,3.585820,125450000
2018-05-24,3.570330,3.939770,3.451000,3.921930,3.921930,81689600
2018-05-25,3.915790,3.915790,3.741070,3.796670,3.796670,38277600
2018-05-26,3.792900,3.882740,3.735270,3.773430,3.773430,51483300
2018-05-27,3.774690,3.822960,3.693790,3.787700,3.787700,43400100
2018-05-28,3.791520,3.831500,3.513070,3.523400,3.523400,75279200
2018-05-29,3.512110,3.769610,3.362610,3.713100,3.713100,82249696
2018-05-30,3.741290,3.927360,3.679130,3.769320,3.769320,77448000
2018-05-31,3.764220,4.598690,3.756980,4.425100,4.425100,121026000
2018-06-01,4.476990,4.818780,4.247180,4.805300,4.805300,106765000
2018-06-02,4.800250,4.804140,4.532060,4.718600,4.718600,86061696
2018-06-03,4.709890,5.392310,4.681950,5.334980,5.334980,127058000
2018-06-04,5.344750,5.672620,5.000290,5.540680,5.540680,157974000
2018-06-05,5.512070,6.037520,5.512070,5.964150,5.964150,171612992
2018-06-06,5.963540,6.098820,5.079130,5.282700,5.282700,246512992
2018-06-07,5.278080,5.802700,5.278080,5.628470,5.628470,105809000
2018-06-08,5.650640,5.892960,5.544530,5.673270,5.673270,72546704
2018-06-09,5.670020,5.750730,5.354640,5.397380,5.397380,66590600
2018-06-10,5.412170,5.425770,4.577590,4.842240,4.842240,145392000
2018-06-11,4.830990,4.972150,4.531020,4.964290,4.964290,111043000
2018-06-12,4.970190,4.970190,4.415870,4.521060,4.521060,78420200
2018-06-13,4.518530,4.571340,4.047770,4.371800,4.371800,87713504
2018-06-14,4.379910,4.584380,4.236020,4.540550,4.540550,66390400
2018-06-15,4.536080,4.542820,4.314970,4.334990,4.334990,47974100
2018-06-16,4.331560,4.408490,4.227140,4.362980,4.362980,36018700
2018-06-17,4.360860,4.436180,4.322100,4.365370,4.365370,29524300
2018-06-18,4.368930,4.429560,4.201550,4.375200,4.375200,42787400
2018-06-19,4.379490,5.226400,4.251120,5.166480,5.166480,134368992
2018-06-20,5.190790,5.190790,4.817730,4.984890,4.984890,102988000
2018-06-21,4.998380,5.041590,4.810430,4.942490,4.942490,69578200
2018-06-22,4.944230,4.965120,4.253070,4.312150,4.312150,138379008
2018-06-23,4.311440,4.446730,4.048490,4.173740,4.173740,78955696
2018-06-24,4.192410,4.192410,3.438520,3.818010,3.818010,137344000
